recording_id,speaker,label,class_name,split,audio_path
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018.wav
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012.wav
sp0159__Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018,sp0159,0,not_allow,test,VOiCES_devkit\source-16k\sp0159\Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018.wav
sp0159__Lab41-SRI-VOiCES-src-sp0159-ch135897-sg0010,sp0159,0,not_allow,test,VOiCES_devkit\source-16k\sp0159\Lab41-SRI-VOiCES-src-sp0159-ch135897-sg0010.wav
sp0196__Lab41-SRI-VOiCES-src-sp0196-ch122152-sg0026,sp0196,0,not_allow,test,VOiCES_devkit\source-16k\sp0196\Lab41-SRI-VOiCES-src-sp0196-ch122152-sg0026.wav
sp0196__Lab41-SRI-VOiCES-src-sp0196-ch122159-sg0027,sp0196,0,not_allow,test,VOiCES_devkit\source-16k\sp0196\Lab41-SRI-VOiCES-src-sp0196-ch122159-sg0027.wav
sp0198__Lab41-SRI-VOiCES-src-sp0198-ch129977-sg0011,sp0198,0,not_allow,test,VOiCES_devkit\source-16k\sp0198\Lab41-SRI-VOiCES-src-sp0198-ch129977-sg0011.wav
sp0198__Lab41-SRI-VOiCES-src-sp0198-ch129977-sg0025,sp0198,0,not_allow,test,VOiCES_devkit\source-16k\sp0198\Lab41-SRI-VOiCES-src-sp0198-ch129977-sg0025.wav
sp0205__Lab41-SRI-VOiCES-src-sp0205-ch157088-sg0010,sp0205,0,not_allow,test,VOiCES_devkit\source-16k\sp0205\Lab41-SRI-VOiCES-src-sp0205-ch157088-sg0010.wav
sp0205__Lab41-SRI-VOiCES-src-sp0205-ch157088-sg0027,sp0205,0,not_allow,test,VOiCES_devkit\source-16k\sp0205\Lab41-SRI-VOiCES-src-sp0205-ch157088-sg0027.wav
sp0207__Lab41-SRI-VOiCES-src-sp0207-ch122801-sg0022,sp0207,0,not_allow,test,VOiCES_devkit\source-16k\sp0207\Lab41-SRI-VOiCES-src-sp0207-ch122801-sg0022.wav
sp0207__Lab41-SRI-VOiCES-src-sp0207-ch143321-sg0035,sp0207,0,not_allow,test,VOiCES_devkit\source-16k\sp0207\Lab41-SRI-VOiCES-src-sp0207-ch143321-sg0035.wav
sp0226__Lab41-SRI-VOiCES-src-sp0226-ch131533-sg0002,sp0226,0,not_allow,test,VOiCES_devkit\source-16k\sp0226\Lab41-SRI-VOiCES-src-sp0226-ch131533-sg0002.wav
sp0226__Lab41-SRI-VOiCES-src-sp0226-ch131533-sg0018,sp0226,0,not_allow,test,VOiCES_devkit\source-16k\sp0226\Lab41-SRI-VOiCES-src-sp0226-ch131533-sg0018.wav
sp0248__Lab41-SRI-VOiCES-src-sp0248-ch130644-sg0021,sp0248,0,not_allow,test,VOiCES_devkit\source-16k\sp0248\Lab41-SRI-VOiCES-src-sp0248-ch130644-sg0021.wav
sp0248__Lab41-SRI-VOiCES-src-sp0248-ch130652-sg0018,sp0248,0,not_allow,test,VOiCES_devkit\source-16k\sp0248\Lab41-SRI-VOiCES-src-sp0248-ch130652-sg0018.wav
sp0403__Lab41-SRI-VOiCES-src-sp0403-ch000216-sg0010,sp0403,0,not_allow,test,VOiCES_devkit\source-16k\sp0403\Lab41-SRI-VOiCES-src-sp0403-ch000216-sg0010.wav
sp0403__Lab41-SRI-VOiCES-src-sp0403-ch128339-sg0005,sp0403,0,not_allow,test,VOiCES_devkit\source-16k\sp0403\Lab41-SRI-VOiCES-src-sp0403-ch128339-sg0005.wav
sp0459__Lab41-SRI-VOiCES-src-sp0459-ch123443-sg0034,sp0459,0,not_allow,test,VOiCES_devkit\source-16k\sp0459\Lab41-SRI-VOiCES-src-sp0459-ch123443-sg0034.wav
sp0459__Lab41-SRI-VOiCES-src-sp0459-ch127522-sg0009,sp0459,0,not_allow,test,VOiCES_devkit\source-16k\sp0459\Lab41-SRI-VOiCES-src-sp0459-ch127522-sg0009.wav
sp0606__Lab41-SRI-VOiCES-src-sp0606-ch130296-sg0014,sp0606,0,not_allow,test,VOiCES_devkit\source-16k\sp0606\Lab41-SRI-VOiCES-src-sp0606-ch130296-sg0014.wav
sp0606__Lab41-SRI-VOiCES-src-sp0606-ch130296-sg0029,sp0606,0,not_allow,test,VOiCES_devkit\source-16k\sp0606\Lab41-SRI-VOiCES-src-sp0606-ch130296-sg0029.wav
sp0949__Lab41-SRI-VOiCES-src-sp0949-ch134657-sg0027,sp0949,0,not_allow,test,VOiCES_devkit\source-16k\sp0949\Lab41-SRI-VOiCES-src-sp0949-ch134657-sg0027.wav
sp0949__Lab41-SRI-VOiCES-src-sp0949-ch138545-sg0032,sp0949,0,not_allow,test,VOiCES_devkit\source-16k\sp0949\Lab41-SRI-VOiCES-src-sp0949-ch138545-sg0032.wav
sp1061__Lab41-SRI-VOiCES-src-sp1061-ch142358-sg0049,sp1061,0,not_allow,test,VOiCES_devkit\source-16k\sp1061\Lab41-SRI-VOiCES-src-sp1061-ch142358-sg0049.wav
sp1061__Lab41-SRI-VOiCES-src-sp1061-ch152224-sg0029,sp1061,0,not_allow,test,VOiCES_devkit\source-16k\sp1061\Lab41-SRI-VOiCES-src-sp1061-ch152224-sg0029.wav
sp1079__Lab41-SRI-VOiCES-src-sp1079-ch128631-sg0024,sp1079,0,not_allow,test,VOiCES_devkit\source-16k\sp1079\Lab41-SRI-VOiCES-src-sp1079-ch128631-sg0024.wav
sp1079__Lab41-SRI-VOiCES-src-sp1079-ch128632-sg0029,sp1079,0,not_allow,test,VOiCES_devkit\source-16k\sp1079\Lab41-SRI-VOiCES-src-sp1079-ch128632-sg0029.wav
sp1226__Lab41-SRI-VOiCES-src-sp1226-ch141268-sg0016,sp1226,0,not_allow,test,VOiCES_devkit\source-16k\sp1226\Lab41-SRI-VOiCES-src-sp1226-ch141268-sg0016.wav
sp1226__Lab41-SRI-VOiCES-src-sp1226-ch141270-sg0023,sp1226,0,not_allow,test,VOiCES_devkit\source-16k\sp1226\Lab41-SRI-VOiCES-src-sp1226-ch141270-sg0023.wav
sp1246__Lab41-SRI-VOiCES-src-sp1246-ch124548-sg0014,sp1246,0,not_allow,test,VOiCES_devkit\source-16k\sp1246\Lab41-SRI-VOiCES-src-sp1246-ch124548-sg0014.wav
sp1246__Lab41-SRI-VOiCES-src-sp1246-ch124548-sg0029,sp1246,0,not_allow,test,VOiCES_devkit\source-16k\sp1246\Lab41-SRI-VOiCES-src-sp1246-ch124548-sg0029.wav
sp1259__Lab41-SRI-VOiCES-src-sp1259-ch027120-sg0012,sp1259,0,not_allow,test,VOiCES_devkit\source-16k\sp1259\Lab41-SRI-VOiCES-src-sp1259-ch027120-sg0012.wav
sp1259__Lab41-SRI-VOiCES-src-sp1259-ch137770-sg0001,sp1259,0,not_allow,test,VOiCES_devkit\source-16k\sp1259\Lab41-SRI-VOiCES-src-sp1259-ch137770-sg0001.wav
